username,message,sentiment,confidence
a_random_user,ah.... ah.... ahhh,Error,0
bagax,Kappa,neutral,0
poofycats,BASTION SHORT,negative,-0.58468
dowdowtv,RUDE,negative,-0.613044
mysticaz,moon2LUL moon2LUL moon2LUL moon2LUL,Error,0
keronr16,hahAA,neutral,0
ii_mikje_ii,PLAY OR IM UNSUBBING,neutral,0
petuho,NOOB FATSO,negative,-0.557086
cathayn,how do I watch this fuck,negative,-0.657373
phenom_hs,ImTriggered MOONMOON ImTriggered PUSHES ImTriggered ME ImTriggered TO ImTriggered MY ImTriggered ABSOLUTE ImTriggered LIMIT ImTriggered .,negative,-0.346064
sealemons270,HotPokket,neutral,0
saltytf,LUL,neutral,0
wanksss,he's finally lost it,negative,-0.559011
tylmomendog,haHAA,neutral,0
magiikappa,haHAAAA,positive,0.621675
cruzcontrol22,NotLikeThis,neutral,0
lolwrd,BabyRage,neutral,0
x_sh4rp,so annoying moonmoon but nothing better on twitch,negative,-0.808055
hawaiianxgypsy,haHAA,neutral,0
leeipuri,gachiGASM FUCK ME MOON,negative,-0.605283
dominoplatinum,Moonmoon_ow, YOU HAVE BIGHEAD TOO BIG,neutral,0
rastafarimahn,HOW RUDE WutFace,Error,0
manletz,@MOONMOON_OW Destroy my pussy please,negative,-0.893898
funkenstein14,!cringe,negative,-0.468343
levelup52,is this a pro genji???,neutral,0
xenoss_,dewLUL,neutral,0
vivaxious,BibleThump BibleThump,Error,0
juicyjus25,PAPA?!,neutral,0
wilsonryan1,has the new season started?,positive,0.282892
soratemas,LUL,neutral,0
redvalhalla,What the ptr????,negative,-0.222481
kaliafornia,stremmer can u plox inform me if this is ptr? plox moon2LUL,neutral,0
t4iishy,TOPKEK,neutral,0
jayari9,Bastion short incoming PogChamp,negative,-0.530484
srace2020,I can get on w/ out issues.,negative,-0.241355
ch43t0m1um,cmonBruh cmonBruh cmonBruh,neutral,0
eighteenrabbit,FeelsBadMan,neutral,0
thatohio,feels rekt man,negative,-0.631341
raditatical,work FeelsBadMan,negative,-0.373158
turmoill,PogChamp PogChamp,Error,0
gdell,is this dude gonna be at twitchcon.. would like to 1v1 irl,negative,-0.247362
vixen98,<3,positive,0.221643
phenom_hs,ImTriggered MOONMOON ImTriggered PUSHES ImTriggered ME ImTriggered TO ImTriggered MY ImTriggered ABSOLUTE ImTriggered LIMIT ImTriggered,negative,-0.482763
nigelishgambino,shadderSMUG,neutral,0
omazilla,papi,neutral,0
el_reto,Kappa,neutral,0
jrossboss,America, back to back world war champs MERICA!!!,neutral,0
c_dizzle420,ImTriggered ImTriggered ImTriggered,Error,0
onlyausername,LUL,neutral,0
rzack,WutFace,neutral,0
getwolfed,LUL,neutral,0
annabelthepanda,moon2WUT moon2WUT moon2WUT,Error,0
isotonicdesigns,HAHAHA, Oh wait you serious? Let me laugh even harder! HAHAHAHAHAHAHAHAHAHAHA!,negative,-0.0779307
bilis132,ptrigerred haHAA,Error,0
reknyne,Hey man, what's your favourite Roadhog skin???,positive,0.538573
hawaiianxgypsy,BibleThump BibleThump BibleThump,Error,0
syntaxau,PTRSD FeelsBadMan,Error,0
staticparadox,LEL ULURU LEL ULURU LEL ULURU LEL ULURU LEL ULURU,Error,0
t4iishy,Kappa FEELS Kappa GOOD Kappa TO Kappa BE Kappa A Kappa PLEB Kappa,Error,0
mbkvv,FeelsBadMan,neutral,0
dearbig,@ZombehBrainZ, lol poor tard,Error,0
hawkeyesflame,haHAA moon2SMUG,Error,0
vanitydestroyer,moon2SMUG Is this PTR? moon2SMUG Is this PTR? moon2SMUG Is this PTR? moon2SMUG Is this PTR? moon2SMUG Is this PTR? moon2SMUG Is this PTR? moon2SMUG Is this PTR? moon2SMUG,neutral,0
mysticaz,@moonmoon_ow moon2MLADY moon2MLADY moon2MLADY moon2MLADY,Error,0
curisu,this streamer has very PTR stream,positive,0.20633
sfg_gamer,!genji,neutral,0
nightbot,Hey strimmer can u play a gengi game?,positive,0.226048
lvl1cpu,moon2SMUG moon2SMUG moon2SMUG moon2SMUG,Error,0
coldace180,58/60????? WHERES THE 2 MORE,negative,-0.830403
deathray147,DADDY NO,negative,-0.593281
tinyer2,I KNOW HIS ADDRESS GET HIM!!!!!,neutral,0
sheeit123,TRIGGERED!,neutral,0
masterspark6,ImTriggered,neutral,0
iipupsii,kappa,neutral,0
physikl,moon2SMUG moon2SMUG moon2SMUG moon2SMUG moon2SMUG moon2SMUG,Error,0
unifyself,moon2SMUG moon2SMUG moon2SMUG moon2SMUG,Error,0
omazilla,shatter smug,negative,-0.879256
msmit71,psh, Nothing personnel kid!,neutral,0
mannyv1990,moon2SMUG moon2SMUG,Error,0
mateuszrb,ShadderSmug,neutral,0
wolfmanzacke,moon2SMUG moon2SMUG moon2SMUG moon2SMUG moon2SMUG moon2SMUG moon2SMUG moon2SMUG moon2SMUG moon2SMUG moon2SMUG moon2SMUG moon2SMUG,Error,0
ch43t0m1um,BibleThump BibleThump BibleThump BibleThump,Error,0
onlyausername,ULURU,neutral,0
uhrainy,shitterSMUG,neutral,0
chasedawolf1994,moon2SMUG moon2SMUG moon2SMUG moon2SMUG,Error,0
prism_nacho,fuck you nerd,negative,-0.43585
phenom_hs,ImTriggered MOONMOON ImTriggered PUSHES ImTriggered ME ImTriggered TO ImTriggered MY ImTriggered ABSOLUTE ImTriggered LIMIT ImTriggered .,negative,-0.346064
infinityhauntlet,dix out for genji,neutral,0
donikass,moon2SMUG moon2SMUG moon2SMUG moon2SMUG moon2SMUG moon2SMUG moon2SMUG moon2SMUG moon2SMUG moon2SMUG,Error,0
schebbi_,mod?,neutral,0
senjougahara_sama,moon2SMUG,neutral,0
evilyoyo7,lmao,positive,0.483922
sealemons270,ShadderSMUG,neutral,0
dillonhd,moon2SMUG,neutral,0
funkenstein14,moon2SMUG moon2SMUG moon2SMUG moon2SMUG moon2SMUG moon2SMUG moon2SMUG moon2SMUG moon2SMUG moon2SMUG,Error,0
neutralweird,moon2SMUG moon2SMUG moon2SMUG moon2SMUG,Error,0
mannyv1990,moon2SMUG moon2SMUG moon2SMUG moon2SMUG,Error,0
shanedestroyer,shadder moon2SMUG,neutral,0
xknightsmare,GOTTEM,neutral,0
duvvii95,voyYASUO voyYASUO voyYASUO,Error,0
thiefshill,HA git em,negative,-0.66396
frozn11,@MorteusNL, no im from a first world country,negative,-0.526662
superhank91,Biblethump,neutral,0
iipupsii,Kappa,neutral,0
maxdestr,donezo LUL,neutral,0
lotimli,is ptr only on pc??????,negative,-0.372475
dogtoothspar,moon2SMUG moon2SMUG moon2SMUG moon2SMUG moon2SMUG moon2SMUG moon2SMUG moon2SMUG moon2SMUG moon2SMUG moon2SMUG moon2SMUG,Error,0
x_sh4rp,Kappa Kappa Kappa,Error,0
planf,moon2SMUG moon2SMUG moon2SMUG moon2SMUG moon2SMUG moon2SMUG moon2SMUG moon2SMUG moon2SMUG moon2SMUG moon2SMUG moon2SMUG moon2SMUG moon2SMUG moon2SMUG moon2SMUG moon2SMUG moon2SMUG moon2SMUG,Error,0
onorekian,KKona,neutral,0
coyoung,Rip genji,negative,-0.840117
saltytf,shattersmug,neutral,0
insanekil1er,9 MINUTES TILL ROBOT,negative,-0.235567
lionruler1322,Rip genji,negative,-0.840117
rumiroomie,moon2SMUG,neutral,0
justinthomasmm,moon2SMUG moon2SMUG moon2SMUG moon2SMUG moon2SMUG moon2SMUG moon2SMUG moon2SMUG moon2SMUG moon2SMUG moon2SMUG moon2SMUG moon2SMUG moon2SMUG moon2SMUG,Error,0
dieec23,moon2SMUG moon2SMUG moon2SMUG moon2SMUG moon2SMUG moon2SMUG moon2SMUG moon2SMUG moon2SMUG moon2SMUG moon2SMUG moon2SMUG,Error,0
gonfe,tfw no shadder smugs,negative,-0.302878
chrextheking,SHADDER SUBS ULURU,Error,0
sirivyyy,Danzo?,neutral,0
kyle7124,mah cahmba BabyRage,Error,0
communismkilled94m,!patch,negative,-0.315866
omazilla,Smug,negative,-0.789709
metalblacktiger,BabyRage MUH CAMBUH BabyRage,Error,0
leeipuri,KKona,neutral,0
milkdrops,moon2SMUG moon2SMUG moon2SMUG moon2SMUG moon2SMUG moon2SMUG moon2SMUG moon2SMUG moon2SMUG,Error,0
ogyrez,moon2SMUG moon2SMUG moon2SMUG moon2SMUG moon2SMUG moon2SMUG moon2SMUG moon2SMUG moon2SMUG moon2SMUG moon2SMUG moon2SMUG moon2SMUG moon2SMUG moon2SMUG,Error,0
twentyy_,shadderSmug,neutral,0
pierules32,KKona 7,neutral,0
silverfishslicer,no shadder smugs XDDDD,neutral,0
t4iishy,OSkomodo MY KEK IS TOP OSkomodo MY LEL IS FREE OSkomodo YOU GUESSED IT RIGHT OSkomodo LEL KEK XD OSkomodo,Error,0
muegle,KKona,neutral,0
zsmj_11,BrokeBack,neutral,0
lvl1cpu,moon2SMUG moon2SMUG moon2SMUG,Error,0
svddie,why you don't play DVA anymore????,negative,-0.634445
andima88,KKona born in the USA,neutral,0
chasedawolf1994,HEY,positive,0.482401
uhrainy,shitterSMUG It's not working 🤔,negative,-0.468427
morabongo,Bastion short in 5 minutes,negative,-0.655758
senjougahara_sama,USA USA USA,neutral,0
truemadness2014,Rip gongo FeelsBadMan,negative,-0.84472
onlyausername,DatSheffy 7,neutral,0
rastafarimahn,#DICKSOUTFORGENJI,Error,0
dankdropleton,ImTriggered MOONMOON ImTriggered IS ImTriggered PUSHING ImTrigggered ME ImTriggered TO ImTriggered MY ImTriggered ABSOLUTE ImTriggered LIMIT ImTriggered,neutral,0
deltaki87,RIP GENZI BiblyThump,Error,0
fatuastorm,Which head are we speaking of, though? moon2SMUG,negative,-0.230096
urethrafranklin333,how do i access PTR on xbox?,negative,-0.262416
bat_hulud,ImTriggered MOONMOON ImTriggered PUSHES ImTriggered ME ImTriggered TO ImTriggered MY ImTriggered ABSOLUTE ImTriggered LIMIT ImTriggered,negative,-0.482763
grorencio,HIS CAMBUH,neutral,0
hawkeyesflame,moon2SMUG PTR? moon2SMUG PTR? moon2SMUG PTR? moon2SMUG PTR? moon2SMUG PTR? moon2SMUG PTR? moon2SMUG PTR? moon2SMUG PTR? moon2SMUG PTR? moon2SMUG PTR? moon2SMUG PTR? moon2SMUG PTR? moon2SMUG PTR? moon2SMUG PTR? moon2SMUG PTR? moon2SMUG PTR? moon2SMUG PTR? moon2SMUG PTR? moon2SMUG PTR? moon2SMUG PTR? moon2SMUG PTR? moon2SMUG PTR? moon2SMUG PTR? moon2SMUG PTR? moon2SMUG,Error,0
smpycookie,deIlluminati,neutral,0
petuho,BORN IN THE EU !! BORN IN THE EU !! BORN IN THE EU !! BORN IN THE EU !!,neutral,0
demon_lily,moon2SMUG moon2SMUG moon2SMUG moon2SMUG moon2SMUG moon2SMUG moon2SMUG moon2SMUG moon2SMUG moon2SMUG moon2SMUG moon2SMUG,Error,0
cruzcontrol22,eevisuRIP eevisuRIP eevisuRIP eevisuRIP eevisuRIP eevisuRIP eevisuRIP eevisuRIP eevisuRIP eevisuRIP eevisuRIP eevisuRIP eevisuRIP eevisuRIP eevisuRIP eevisuRIP eevisuRIP,Error,0
t4iishy,MURICA,neutral,0
senjougahara_sama,DatSheffy,neutral,0
gafsibou,THIS STREAMER LOOKS VERY PTR @Moonmoon_ow,neutral,0
dragoneer3,moon2CHAMP moon2MLADY moon2CHAMP moon2MLADY moon2CHAMP moon2MLADY moon2CHAMP moon2MLADY moon2CHAMP moon2MLADY,Error,0
itreebeard,AngelThump Farewell Sweet Genji AngelThump,positive,0.473497
omazilla,Shaddersmuh,neutral,0
duvvii95,voyRIP voyRIP voyRIP voyRIP voyRIP voyRIP voyRIP voyRIP voyRIP voyRIP voyHYPE voyRIP voyHYPE voyRIP voyRIP voyRIP voyRIP,Error,0
felicitates,I feel like you're trying to drive out all your non american players ;),positive,0.661991
chasedawolf1994,Born in the USA,neutral,0
papyshh,only english usa,negative,-0.275526
niklev9,patriotism,positive,0.318657
incognitix,sadder still wrecks,negative,-0.804192
dbdale,KKona,neutral,0
annabelthepanda,Kbyeeeeeeeeee PTR MOON IS too moon2SMUG moon2SMUG moon2SMUG moon2SMUG moon2SMUG moon2SMUG,Error,0
phenom_hs,ImTriggered MOONMOON ImTriggered PUSHES ImTriggered ME ImTriggered TO ImTriggered MY ImTriggered ABSOLUTE ImTriggered LIMIT ImTriggered .,negative,-0.346064
masterspark6,BOOOOOORN IN THE USA,neutral,0
bobthepredator,BORN IN NA KKona,Error,0
muegle,KKona 7,neutral,0
garasol,Where was he born?,neutral,0
usernamewastaken12,ULURU,neutral,0
micball,BloodTrail,neutral,0
woutter,they killed genji...,negative,-0.534192
basically__basic,GOD IT FEELS GOOD,positive,0.215303
tucklulz,Bjorn in the U S A,positive,0.309758
dieec23,moon2SATAN moon2SATAN moon2SATAN moon2SATAN moon2SATAN moon2SATAN moon2SATAN moon2SATAN moon2SATAN moon2SATAN moon2SATAN moon2SATAN moon2SATAN moon2SATAN moon2SATAN moon2SATAN,Error,0
shanedestroyer,moon2SMUG moon2SMUG moon2SMUG moon2SMUG moon2SMUG moon2SMUG moon2SMUG moon2SMUG moon2SMUG moon2SMUG moon2SMUG moon2SMUG moon2SMUG moon2SMUG moon2SMUG moon2SMUG moon2SMUG moon2SMUG,Error,0
nintendoom33,isnt that song very critical of the usa?,negative,-0.5521
zombehbrainz,@Dearbig, I'm not the one willingly watching something I supposedly hate LUL get fucked, bitch moon2SMUG,negative,-0.959115
joshder,lol just got onto PTR first try,neutral,0
arethyu,DatSheffy 7,neutral,0
hawkeyesflame,moon2SMUG PTR? moon2SMUG PTR? moon2SMUG PTR? moon2SMUG PTR? moon2SMUG PTR? moon2SMUG PTR? moon2SMUG PTR? moon2SMUG PTR? moon2SMUG PTR? moon2SMUG PTR? moon2SMUG PTR? moon2SMUG PTR? moon2SMUG PTR? moon2SMUG PTR? moon2SMUG PTR? moon2SMUG PTR? moon2SMUG PTR? moon2SMUG PTR? moon2SMUG PTR? moon2SMUG PTR?,Error,0
t4iishy,GET SOME DEMOCRACY,neutral,0
the_dawkinator,BORN... IN THE USA,neutral,0
bluefalconexe,get shat on "pro" genji mains,neutral,0
savalaserg2,banged in the usa,negative,-0.596261
beanbomb47,FeelsBadMan got fucked FeelsGoodMan not a virgin FeelsAmazingMan,negative,-0.787061
wiscomptonswan,Kappa,neutral,0
slapner,moon2SMUG moon2SMUG moon2SMUG moon2SMUG moon2SMUG moon2SMUG moon2SMUG moon2SMUG moon2SMUG moon2SMUG,Error,0
bigmambagaming,Mau5 Mau5 Mau5,neutral,0
turmoill,DatSheffy DatSheffy DatSheffy,Error,0
dedolin2167,anyone have a link to PTR patch notes?,negative,-0.459709
onorekian,VAPE TEST AMPEnergyCherry ()_̅_̅_̅_̅_̅_̅_̅_) If the arms touch the vape, you are LIT ⎝ VapeNation ⎠,positive,0.240498
ethan_bradbarrie,BORN IN NA,neutral,0
ianiberri,OhMyDog PartyTime,Error,0
if_i_only_have_snus,Born in canada BabyRage,neutral,0
reesaroni,moon2SMUG moon2SMUG moon2SMUG moon2SMUG moon2SMUG moon2SMUG moon2SMUG moon2SMUG moon2SMUG moon2SMUG moon2SMUG moon2SMUG moon2SMUG moon2SMUG moon2SMUG moon2SMUG moon2SMUG,Error,0
altoration,uhRainy ULURU,neutral,0
zetienno,OSkomodo MY KEK IS TOP OSkomodo MY LEL IS FREE OSkomodo YOU GUESSED IT RIGHT OSkomodo LEL KEK XD OSkomodo,Error,0
jcline9677,KKona U KKona S KKona A KKona KKona U KKona S KKona A KKona KKona U KKona S KKona A KKona KKona U KKona S KKona A KKona KKona U KKona S KKona A KKona,Error,0
planf,moon2SMUG moon2SMUG moon2SMUG moon2SMUG moon2SMUG moon2SMUG moon2SMUG moon2SMUG moon2SMUG,Error,0
viper459,SourPls,neutral,0
niralos,this is not a patriotic song fyi,negative,-0.334144
vanitydestroyer,moon2SMUG ME UP moon2SMUG ME UP INSIDE CAN'T MOON2SMUG UP,negative,-0.599675
nigelishgambino,MUH CAMBA BabyRage BabyRage BabyRage,Error,0
xlogik1,Press 69 for HARAMBE!!!,neutral,0
walking_clock,born in the usa... patriotism... 🤔,neutral,0
t4iishy,HEY KIDS WANNA SOME DEMOCRACY,positive,0.264401
real_pirates_are_scurvy,AngelThump USA USA USA AngelThump,Error,0
chasedawolf1994,Born in the GG EZ,positive,0.286453
coatzul,KKona 7,neutral,0
deltaki87,BORN IN THE USA OpieOP,neutral,0
t4iishy,OSkomodo MY KEK IS TOP OSkomodo MY LEL IS FREE OSkomodo YOU GUESSED IT RIGHT OSkomodo LEL KEK XD OSkomodo,Error,0
quechnitlan,Not really a patriotic song,negative,-0.532418
fullmetalmaniac,THIS SONG ISNT AS PATRIOTIC AS IT SOUNDS MOON,neutral,0
louis9921,Kappa,neutral,0
petuho,BORN IN THE EU !! BORN IN THE EU !! BORN IN THE EU !!,neutral,0
jsalari,@Moonmoon_ow, This song is the exact OPPOSITE of patriotism, listen to the lyrics.,positive,0.398047
bigmambagaming,DoritosChip DoritosChip DoritosChip DoritosChip,Error,0
psych_reaper,ImTriggered MOONMOON ImTriggered PUSHES ImTriggered ME ImTriggered TO ImTriggered MY ImTriggered ABSOLUTE ImTriggered LIMIT ImTriggered .,negative,-0.346064
rambo_8_u,NAME CHANGE COMING FOR GENGULI GENGULI GENGULI GENGULI GENGULI GENGULI MingLee MingLee MingLee MingLee MingLee MingLee MingLee MingLee MingLee MingLee MingLee MingLee MingLee MingLee MingLee MingLee MingLee,Error,0
shanedestroyer,moon2SMUG PTR? moon2SMUG PTR? moon2SMUG PTR? moon2SMUG PTR? moon2SMUG PTR? moon2SMUG PTR? moon2SMUG PTR? moon2SMUG PTR? moon2SMUG PTR? moon2SMUG PTR? moon2SMUG PTR? moon2SMUG PTR? moon2SMUG PTR? moon2SMUG PTR? moon2SMUG PTR? moon2SMUG PTR? moon2SMUG PTR? moon2SMUG PTR? moon2SMUG PTR? moon2SMUG PTR?,Error,0
beatsbyyomomma,ALMOST 11k viewers,neutral,0
